구별,동,인구수_계,인구수_남,인구수_여,19세 이상_계,19세 이상_남,19세 이상_여,65세 이상_계,65세 이상_남자,65세 이상_여자,세대수,재외국민,데이터기준일자
수정구,신흥1동         ,12172 ,6507 ,5665 ,11412 ,6113 ,5299 ,2987 ,1308 ,1679 ,7543 ,18 ,2025-04-30
수정구,신흥2동         ,31612 ,15343 ,16269 ,26612 ,12837 ,13775 ,4910 ,2246 ,2664 ,12288 ,47 ,2025-04-30
수정구,신흥3동         ,10795 ,5763 ,5032 ,10071 ,5396 ,4675 ,2509 ,1166 ,1343 ,6486 ,9 ,2025-04-30
수정구,태평1동         ,13814 ,7193 ,6621 ,13009 ,6788 ,6221 ,3460 ,1543 ,1917 ,8349 ,21 ,2025-04-30
수정구,태평2동         ,13860 ,6986 ,6874 ,12734 ,6428 ,6306 ,3234 ,1376 ,1858 ,7603 ,18 ,2025-04-30
수정구,태평3동         ,11795 ,6069 ,5726 ,10861 ,5608 ,5253 ,2946 ,1317 ,1629 ,6432 ,16 ,2025-04-30
수정구,태평4동         ,11098 ,5714 ,5384 ,10079 ,5176 ,4903 ,2562 ,1138 ,1424 ,5991 ,14 ,2025-04-30
수정구,수진1동         ,10983 ,5821 ,5162 ,10385 ,5515 ,4870 ,3101 ,1377 ,1724 ,6747 ,12 ,2025-04-30
수정구,수진2동         ,14486 ,7292 ,7194 ,13310 ,6684 ,6626 ,3810 ,1728 ,2082 ,7507 ,34 ,2025-04-30
수정구,단대동          ,14306 ,7041 ,7265 ,12660 ,6171 ,6489 ,3160 ,1351 ,1809 ,6506 ,22 ,2025-04-30
수정구,산성동          ,4517 ,2277 ,2240 ,4028 ,2013 ,2015 ,1096 ,468 ,628 ,2162 ,24 ,2025-04-30
수정구,양지동          ,9008 ,4436 ,4572 ,8090 ,3963 ,4127 ,2087 ,904 ,1183 ,4250 ,8 ,2025-04-30
수정구,복정동          ,10252 ,5774 ,4478 ,9490 ,5379 ,4111 ,1308 ,622 ,686 ,6668 ,18 ,2025-04-30
수정구,위례동          ,45652 ,22112 ,23540 ,36941 ,17760 ,19181 ,6831 ,3167 ,3664 ,18829 ,129 ,2025-04-30
수정구,신촌동          ,4515 ,2396 ,2119 ,3711 ,1982 ,1729 ,589 ,279 ,310 ,2019 ,14 ,2025-04-30
수정구,고등동          ,11727 ,5735 ,5992 ,9856 ,4797 ,5059 ,1726 ,787 ,939 ,5278 ,31 ,2025-04-30
수정구,시흥동          ,3435 ,1829 ,1606 ,3194 ,1698 ,1496 ,703 ,338 ,365 ,2066 ,18 ,2025-04-30
중원구,성남동          ,32148 ,16798 ,15350 ,29687 ,15570 ,14117 ,6873 ,3157 ,3716 ,18534 ,50 ,2025-04-30
중원구,중앙동          ,16657 ,8475 ,8182 ,14251 ,7243 ,7008 ,3145 ,1433 ,1712 ,7550 ,17 ,2025-04-30
중원구,금광1동         ,19590 ,9584 ,10006 ,16310 ,7953 ,8357 ,2737 ,1229 ,1508 ,8237 ,16 ,2025-04-30
중원구,금광2동         ,23989 ,11862 ,12127 ,21657 ,10677 ,10980 ,5249 ,2352 ,2897 ,12137 ,42 ,2025-04-30
중원구,은행1동         ,9381 ,4635 ,4746 ,8330 ,4076 ,4254 ,1843 ,810 ,1033 ,4409 ,7 ,2025-04-30
중원구,은행2동         ,21303 ,10484 ,10819 ,19455 ,9544 ,9911 ,5129 ,2191 ,2938 ,10799 ,48 ,2025-04-30
중원구,상대원1동       ,23468 ,12234 ,11234 ,21157 ,11055 ,10102 ,5214 ,2365 ,2849 ,12078 ,21 ,2025-04-30
중원구,상대원2동       ,2982 ,1569 ,1413 ,2725 ,1427 ,1298 ,704 ,345 ,359 ,1584 ,9 ,2025-04-30
중원구,상대원3동       ,11257 ,5918 ,5339 ,10347 ,5458 ,4889 ,2841 ,1348 ,1493 ,6325 ,14 ,2025-04-30
중원구,하대원동        ,19280 ,9696 ,9584 ,16991 ,8531 ,8460 ,4043 ,1915 ,2128 ,8152 ,34 ,2025-04-30
중원구,도촌동          ,25974 ,12578 ,13396 ,21620 ,10301 ,11319 ,4512 ,1986 ,2526 ,10793 ,50 ,2025-04-30
분당구,분당동          ,24399 ,12034 ,12365 ,20562 ,10047 ,10515 ,4157 ,1906 ,2251 ,10058 ,91 ,2025-04-30
분당구,수내1동         ,17825 ,8499 ,9326 ,14701 ,6897 ,7804 ,2553 ,1036 ,1517 ,7874 ,128 ,2025-04-30
분당구,수내2동         ,10395 ,5077 ,5318 ,7583 ,3669 ,3914 ,1233 ,557 ,676 ,3188 ,41 ,2025-04-30
분당구,수내3동         ,13213 ,6553 ,6660 ,10415 ,5151 ,5264 ,1489 ,662 ,827 ,5112 ,30 ,2025-04-30
분당구,정자동          ,13877 ,7063 ,6814 ,11906 ,6060 ,5846 ,2320 ,1097 ,1223 ,6282 ,60 ,2025-04-30
분당구,정자1동         ,30161 ,14299 ,15862 ,25492 ,11961 ,13531 ,4299 ,1998 ,2301 ,13989 ,281 ,2025-04-30
분당구,정자2동         ,14280 ,6784 ,7496 ,12569 ,5882 ,6687 ,2803 ,1089 ,1714 ,7275 ,58 ,2025-04-30
분당구,정자3동         ,16597 ,7933 ,8664 ,13678 ,6472 ,7206 ,2469 ,1065 ,1404 ,6600 ,78 ,2025-04-30
분당구,서현1동         ,30682 ,14870 ,15812 ,25236 ,12079 ,13157 ,4423 ,2002 ,2421 ,12630 ,171 ,2025-04-30
분당구,서현2동         ,17440 ,8619 ,8821 ,14539 ,7081 ,7458 ,2725 ,1262 ,1463 ,6563 ,60 ,2025-04-30
분당구,이매1동         ,24675 ,12052 ,12623 ,20315 ,9784 ,10531 ,3859 ,1781 ,2078 ,9032 ,89 ,2025-04-30
분당구,이매2동         ,12941 ,6342 ,6599 ,10593 ,5120 ,5473 ,2411 ,1172 ,1239 ,4401 ,53 ,2025-04-30
분당구,야탑1동         ,16612 ,8200 ,8412 ,14541 ,7132 ,7409 ,3322 ,1547 ,1775 ,7548 ,59 ,2025-04-30
분당구,야탑2동         ,15616 ,7411 ,8205 ,13125 ,6170 ,6955 ,3422 ,1583 ,1839 ,6002 ,80 ,2025-04-30
분당구,야탑3동         ,26130 ,12883 ,13247 ,23077 ,11326 ,11751 ,5273 ,2330 ,2943 ,12527 ,58 ,2025-04-30
분당구,금곡동,26904 ,12700 ,14204 ,23448 ,10918 ,12530 ,5582 ,2422 ,3160 ,12039 ,161 ,2025-04-30
분당구,구미동,28057 ,13296 ,14761 ,24554 ,11550 ,13004 ,5950 ,2610 ,3340 ,12530 ,165 ,2025-04-30
분당구,구미1동,16195 ,7831 ,8364 ,13961 ,6694 ,7267 ,2735 ,1248 ,1487 ,7023 ,87 ,2025-04-30
분당구,판교동          ,26521 ,13019 ,13502 ,20372 ,9826 ,10546 ,2995 ,1442 ,1553 ,9000 ,100 ,2025-04-30
분당구,삼평동          ,23698 ,11496 ,12202 ,19131 ,9182 ,9949 ,3064 ,1380 ,1684 ,9096 ,57 ,2025-04-30
분당구,백현동          ,26398 ,12613 ,13785 ,22039 ,10369 ,11670 ,3972 ,1781 ,2191 ,10513 ,95 ,2025-04-30
분당구,운중동          ,37588 ,18338 ,19250 ,29786 ,14339 ,15447 ,4313 ,2097 ,2216 ,13717 ,171 ,2025-04-30
